
optmask_dem_v2_l2@comp_keypoint_alpha0.22_steps60_n5_bound2ens4_model0178, ens1, mean cosine similarty,0.63623
optmask_dem_v2_l2@comp_keypoint_alpha0.28_steps60_n5_bound2.5ens4_model0178, ens1, mean cosine similarty,0.62396
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps60_n5_bound2ens4_model0178, ens1, mean cosine similarty,0.64353
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps60_n5_bound2ens4_model0178, ens1, mean cosine similarty,0.55145
optmask_dem_v2_l2@comp_keypoint_alpha0.22_steps60_n5_bound3ens4_model0178, ens1, mean cosine similarty,0.59465
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps50_n5_bound2.5ens4_model0178, ens1, mean cosine similarty,0.60719
optmask_dem_v2_l2@comp_keypoint_alpha0.3_steps60_n5_bound2.5ens4_model0178, ens1, mean cosine similarty,0.62693
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps60_n5_bound1.5ens4_model0178, ens1, mean cosine similarty,0.68369
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps60_n5_bound1.5ens4_model0178, ens1, mean cosine similarty,0.59771
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps60_n5_bound2.5ens4_model0178, ens1, mean cosine similarty,0.57732
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps60_n5_bound2.5ens4_model0178, ens1, mean cosine similarty,0.59639
optmask_dem_v2_l2@comp_keypoint_alpha0.28_steps60_n5_bound1.5ens4_model0178, ens1, mean cosine similarty,0.68942
optmask_dem_v2_l2@comp_keypoint_alpha0.3_steps60_n5_bound2ens4_model0178, ens1, mean cosine similarty,0.65198
optmask_dem_v2_l2@comp_keypoint_alpha0.28_steps60_n5_bound3ens4_model0178, ens1, mean cosine similarty,0.60635
optmask_dem_v2_l2@comp_keypoint_alpha0.3_steps60_n5_bound3ens4_model0178, ens1, mean cosine similarty,0.60934
optmask_dem_v2_l2@comp_keypoint_alpha0.28_steps60_n5_bound2ens4_model0178, ens1, mean cosine similarty,0.64909
optmask_dem_v2_l2@comp_keypoint_alpha0.22_steps60_n5_bound1.5ens4_model0178, ens1, mean cosine similarty,0.67687
optmask_dem_v2_l2@comp_keypoint_alpha0.22_steps60_n5_bound2.5ens4_model0178, ens1, mean cosine similarty,0.61149
optmask_dem_v2_l2@comp_keypoint_alpha0.3_steps60_n5_bound1.5ens4_model0178, ens1, mean cosine similarty,0.69243
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps70_n5_bound3ens4_model0178, ens1, mean cosine similarty,0.6095
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps70_n5_bound2ens4_model0178, ens1, mean cosine similarty,0.65201
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps70_n5_bound2.5ens4_model0178, ens1, mean cosine similarty,0.62694
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps70_n5_bound1.5ens4_model0178, ens1, mean cosine similarty,0.69288
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps90_n5_bound1.5ens4_model0178, ens1, mean cosine similarty,0.70626
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps90_n5_bound2ens4_model0178, ens1, mean cosine similarty,0.66393
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps90_n5_bound3ens4_model0178, ens1, mean cosine similarty,0.62219
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps90_n5_bound2.5ens4_model0178, ens1, mean cosine similarty,0.63874
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps120_n5_bound1.5ens4_model0178, ens1, mean cosine similarty,0.71859
